,시군구,읍면동/구,lat,long,total_score
181,영주시,휴천2동,36.8100875,128.6217517,497199.08877940866
182,영주시,휴천1동,36.8184981,128.6298339,478963.7456898857
183,영주시,영주2동,36.820814,128.6187113,488971.64190306445
184,영주시,영주1동,36.8282527,128.6237042,477397.81953721103
185,영주시,하망동,36.8238988,128.6303516,478119.2544358564
186,영주시,상망동,36.8281056,128.6283305,477403.6831995204
187,영주시,부석면,36.9788722,128.6541519,365297.0574190723
188,영주시,단산면,36.951301,128.619487,382932.01932018716
189,영주시,순흥면,36.915757,128.574913,411154.08608176414
190,영주시,봉현면,36.861424,128.525013,463394.77594295033
191,영주시,안정면,36.8459286,128.5566698,472057.02823477786
192,영주시,장수면,36.774708,128.578688,517284.2765824443
193,영주시,문수면,36.7720876,128.6305403,530622.3923165896
194,영주시,평은면,36.7584082,128.6885719,513322.72079538414
195,영주시,이산면,36.8217981,128.6562063,475986.39800115395
196,영주시,풍기읍,36.8671714,128.5262727,462502.98454433517
197,구미시,공단동,36.0993,128.3798,1494700.5796738174
198,구미시,원평동,36.1270552,128.339921,1158334.0288882859
199,구미시,양포동,36.1369821,128.4258,1543002.7622425095
200,구미시,진미동,36.1060634,128.4186119,1550226.7292974514
201,구미시,인동동,36.1042563,128.4291963,1557735.588289898
202,구미시,임오동,36.089282,128.369238,1493775.3170973565
203,구미시,상모사곡동,36.0953394,128.3532845,1390249.9959588444
204,구미시,광평동,36.1047125,128.3660419,1411473.022064935
205,구미시,비산동,36.119324,128.3722,1424904.6873121997
206,구미시,신평2동,36.1231654,128.3657125,1413009.993825859
207,구미시,신평1동,36.1209071,128.359275,1317250.7743274695
208,구미시,형곡2동,36.1062452,128.3355323,1211052.1564224442
209,구미시,형곡1동,36.114007,128.334438,1170186.340022678
210,구미시,선주원남동,36.1425904,128.3102,959623.5859904804
211,구미시,지산동,36.1394321,128.3458125,1173812.1472917139
212,구미시,도량동,36.1405404,128.332575,964278.7525202454
213,구미시,송정동,36.1185042,128.3472417,1240577.284370617
214,구미시,장천면,36.125907,128.4951,1697490.7288759672
215,구미시,해평면,36.199835,128.391288,1040829.2740775133
216,구미시,도개면,36.299558,128.330813,1052984.9082804376
217,구미시,옥성면,36.295783,128.278775,955782.1534487181
218,구미시,무을면,36.2607667,128.1974625,893600.6264021264
219,구미시,고아읍,36.2109468,128.3283922,968344.6705912163
220,구미시,선산읍,36.242976,128.298975,949045.4308428433
221,안동시,동문동,36.5652534,128.7356635,548087.0536267926
222,안동시,북문동,36.5673889,128.7313295,548673.9400449606
223,안동시,서부동,36.5659128,128.7289741,555184.8226214892
224,안동시,강남동,36.5487333,128.726975,555089.1616190036
225,안동시,송하동,36.5703569,128.6942357,573040.6622355758
226,안동시,옥동,36.561542,128.70175,560352.9981117471
227,안동시,안기동,36.5829861,128.7142953,546336.716949205
228,안동시,평화동,36.5691213,128.7130833,552906.3045828759
229,안동시,태화동,36.5611262,128.7139328,555639.7407086416
230,안동시,서구동,36.5643137,128.7174705,555803.2960298477
231,안동시,용상동,36.55915,128.749587,545381.3474677041
232,안동시,명륜동,36.5767635,128.7329884,545326.8569594147
233,안동시,중구동,36.564776,128.7376925,545676.6325811385
234,안동시,녹전면,36.7428429,128.7737125,497489.3412712674
235,안동시,도산면,36.74196,128.83335,474353.81877377816
236,안동시,예안면,36.6612822,128.8851267,485199.48185422213
237,안동시,임동면,36.5688502,128.9175764,481983.6136821751
238,안동시,길안면,36.4559596,128.89435,565521.5244314611
239,안동시,임하면,36.5247368,128.8310079,525555.3798570731
240,안동시,남선면,36.526192,128.769837,548494.7311737329
241,안동시,남후면,36.5236437,128.6899618,716976.7372901414
242,안동시,일직면,36.475301,128.659562,928615.0875754154
243,안동시,풍천면,36.5561917,128.506525,905886.2146067823
244,안동시,서후면,36.6169571,128.66385,586013.4567152765
245,안동시,북후면,36.6850376,128.7022829,531841.7681196164
246,안동시,와룡면,36.61644,128.766413,530459.1318967245
247,안동시,풍산읍,36.580125,128.572025,741504.9014452827
248,김천시,평화동,36.1255641,128.1116225,832029.0288541077
249,김천시,율곡동,36.1213716,128.1837472,867806.429608037
250,김천시,지좌동,36.1200021,128.1423779,845201.506398121
251,김천시,대곡동,36.1244724,128.0892426,817087.9102713516
252,김천시,대신동,36.1353069,128.1158592,838558.8212780812
253,김천시,양금동,36.110466,128.1233942,834984.6271937125
254,김천시,평화남산동,36.1205621,128.1162617,834975.1089994526
255,김천시,자산동,36.1222487,128.127875,839971.2919536878
256,김천시,증산면,35.9019768,128.0352033,643261.9046829836
257,김천시,대덕면,35.9178772,127.9688031,575902.3260404349
258,김천시,부항면,35.990228,127.955109,658188.6909142801
259,김천시,지례면,35.984793,128.02665,696960.6500161182
260,김천시,구성면,36.032542,128.047712,724770.983895932
261,김천시,조마면,36.03495,128.099025,764459.7768455102
262,김천시,감천면,36.0660042,128.1254908,784135.8239371398
263,김천시,대항면,36.1244378,128.0221239,750060.3147987834
264,김천시,봉산면,36.1414787,128.0602698,793283.7119714919
265,김천시,어모면,36.1805798,128.1187498,843051.5538669812
266,김천시,감문면,36.2142223,128.1810064,887000.9824892186
267,김천시,개령면,36.1676998,128.1861813,876310.3999508343
268,김천시,남면,36.1079173,128.189496,864548.0297079037
269,김천시,농소면,36.1060922,128.1723227,858257.7219652522
270,김천시,아포읍,36.1598889,128.253401,937068.3178614626
271,경주시,북부동,35.8487,129.2121,1461058.7121962311
272,경주시,서부동,35.847,129.2085,1461637.6201685572
273,경주시,보덕동,35.834699,129.28745,1021898.1072966633
274,경주시,불국동,35.775264,129.3006248,904585.2312654824
275,경주시,동천동,35.8541722,129.2226219,1450968.3568309876
276,경주시,황성동,35.8722285,129.219185,1466471.5165511875
277,경주시,용강동,35.864257,129.223187,1459962.4642354809
278,경주시,월성동,35.83654,129.219575,1453367.9645154737
279,경주시,선도동,35.8436313,129.1748665,1478412.9765001764
280,경주시,황남동,35.833574,129.207462,1462699.889667289
281,경주시,성건동,35.850824,129.20735,1463164.8037109247
282,경주시,황오동,35.84694,129.216013,1458961.9031170981
283,경주시,중부동,35.8420342,129.2062327,1460486.888601993
284,경주시,천북면,35.8953299,129.2711256,1052762.5565615755
285,경주시,강동면,35.987785,129.273313,1074733.4438465373
286,경주시,현곡면,35.8664403,129.2023949,1478603.2726092716
287,경주시,서면,35.8913424,129.0525475,1528805.5402828509
288,경주시,산내면,35.7557456,129.0443956,1467269.7756915097
289,경주시,내남면,35.7524042,129.2001359,1413224.025092796
290,경주시,양남면,35.6778108,129.4603262,574559.7334037673
291,경주시,외동읍,35.7175474,129.327637,758260.3313162981
292,경주시,건천읍,35.8499328,129.1019349,1510470.269334639
293,경주시,안강읍,35.9901372,129.2270629,1082194.8908248604
294,경주시,감포읍,35.8074109,129.5016436,612640.0271895687
295,포항시,대신동,36.0475,129.3671,812829.7273911058
296,포항시,신흥동,36.04,129.3627,833845.3329752344
297,포항시,환여동,36.0682046,129.3917767,794662.4962414812
298,포항시,장량동,36.0819654,129.3859196,796920.485258113
299,포항시,두호동,36.06092,129.3800726,805522.065338872
300,포항시,우창동,36.0546798,129.3617193,826473.4504409337
301,포항시,용흥동,36.038331,129.3576629,834020.0268599396
302,포항시,죽도동,36.0312323,129.3631924,826151.3001338068
303,포항시,양학동,36.025292,129.35035,833566.0959270023
304,포항시,중앙동,36.0493963,129.368524,812013.3566165544
305,포항시,기북면,36.128582,129.16635,1051959.3823834155
306,포항시,죽장면,36.160182,129.095775,1371592.731643355
307,포항시,기계면,36.072433,129.21025,1075143.7671357272
308,포항시,송라면,36.2288341,129.3569449,716471.4613047829
309,포항시,청하면,36.19956,129.337912,767798.5098987037
310,포항시,신광면,36.1301355,129.2629066,857902.1617203297
311,포항시,흥해읍,36.107199,129.341663,820242.0705598387
312,포항시,대이동,36.0172502,129.3429899,835227.5465623692
313,포항시,효곡동,36.0102347,129.3294224,850683.6569059587
314,포항시,제철동,35.992318,129.397125,787975.4138966659
315,포항시,청림동,35.997327,129.4057085,784656.423850068
316,포항시,송도동,36.0319072,129.3754739,803705.9129419771
317,포항시,해도동,36.0232859,129.3714474,810127.5577438796
318,포항시,상대동,36.0140192,129.3569633,828839.1718529026
319,포항시,호미곶면,36.0808541,129.5555306,589363.8455151761
320,포항시,장기면,35.8957657,129.49229,641982.5422533861
321,포항시,동해면,35.9884726,129.4401691,721844.039705248
322,포항시,대송면,35.968501,129.359925,820803.514762867
323,포항시,오천읍,35.9631672,129.4146597,768981.0918004382
324,포항시,연일읍,35.991618,129.3441,835039.9350176624
325,포항시,구룡포읍,35.9851602,129.5461482,606925.103665344
